feat_idx,dataset,reg_epochs,ptb_rate,base_g0,base_gX,lock_g0,lock_gX
0,cora,50,0.5,0.8736842274665833,0.8658688068389893,0.8842105269432068,0.8980602622032166
1,cora,50,0.5,0.8631579279899597,0.8576145768165588,0.9649122953414917,0.7787866592407227
2,cora,50,0.5,0.8631579279899597,0.8613289594650269,0.9228070378303528,0.9112670421600342
3,cora,50,0.5,0.7684210538864136,0.7383409142494202,0.9719298481941223,0.902600109577179
4,cora,50,0.5,0.8736842274665833,0.8761865496635437,0.7228070497512817,0.7730087041854858
5,cora,50,0.5,0.8771929740905762,0.8720594644546509,0.9859649538993835,0.9500619173049927
6,cora,50,0.5,0.8421052694320679,0.8402806520462036,0.9719298481941223,0.9191085696220398
7,cora,50,0.5,0.9578947424888611,0.9508873224258423,0.9929824471473694,0.9826661348342896
8,cora,50,0.5,0.936842143535614,0.9463475346565247,0.9157894849777222,0.8926950097084045
9,cora,50,0.5,0.9964912533760071,0.9867932796478271,0.9929824471473694,0.9789517521858215
10,cora,50,0.5,0.9508771896362305,0.9451093673706055,0.9894737005233765,0.9706975221633911
11,cora,50,0.5,0.9824561476707458,0.9876186847686768,0.9894737005233765,0.9917457699775696
12,cora,50,0.5,0.9228070378303528,0.9219975471496582,0.9614035487174988,0.9244738221168518
13,cora,50,0.5,0.9824561476707458,0.9698720574378967,0.9859649538993835,0.9649195671081543
14,cora,50,0.5,0.8456140756607056,0.821708619594574,0.9894737005233765,0.9265373945236206
15,cora,50,0.5,0.8175438642501831,0.8188196420669556,0.9508771896362305,0.848534882068634
16,cora,50,0.5,0.9894737005233765,0.9830788373947144,0.9929824471473694,0.9851424098014832
17,cora,50,0.5,0.7508772015571594,0.7420552968978882,0.9894737005233765,0.931489884853363
18,cora,50,0.5,0.9894737005233765,0.985555112361908,0.9859649538993835,0.9673958420753479
19,cora,50,0.5,0.7789474129676819,0.7478333115577698,0.7649123072624207,0.7527858018875122
20,cora,50,0.5,0.9929824471473694,0.9917457699775696,0.9929824471473694,0.9863805174827576
21,cora,50,0.5,0.8035088181495667,0.8002476692199707,0.9052631855010986,0.8724721670150757
22,cora,50,0.5,0.9719298481941223,0.9719356298446655,0.9964912533760071,0.9942220449447632
23,cora,50,0.5,0.9578947424888611,0.9418076872825623,0.9754385948181152,0.9013619422912598
24,cora,50,0.5,0.9789474010467529,0.9756500720977783,0.9894737005233765,0.9731737971305847
25,cora,50,0.5,0.7403509020805359,0.776310384273529,0.9403508901596069,0.8819645047187805
26,cora,50,0.5,0.8526315689086914,0.8204705119132996,0.9087719321250916,0.8943458795547485
27,cora,50,0.5,0.7894737124443054,0.7907552719116211,0.9719298481941223,0.8472967743873596
28,cora,50,0.5,0.936842143535614,0.9269500970840454,0.9964912533760071,0.9876186847686768
29,cora,50,0.5,0.9824561476707458,0.9744119048118591,0.9894737005233765,0.9781262874603271
30,cora,50,0.5,0.8842105269432068,0.8708212971687317,0.9894737005233765,0.8666942119598389
31,cora,50,0.5,0.9894737005233765,0.9843170046806335,0.9929824471473694,0.9921585321426392
32,cora,50,0.5,0.9824561476707458,0.9793644547462463,0.9929824471473694,0.9731737971305847
33,cora,50,0.5,0.9473684430122375,0.9620305895805359,0.9824561476707458,0.9653322696685791
34,cora,50,0.5,0.75789475440979,0.7540239691734314,0.9789474010467529,0.907965362071991
35,cora,50,0.5,0.8280701637268066,0.8221213817596436,0.8912280797958374,0.8625670671463013
36,cora,50,0.5,0.8701754808425903,0.8662815093994141,0.9684211015701294,0.825010359287262
37,cora,50,0.5,0.8701754808425903,0.8699958920478821,0.9719298481941223,0.9244738221168518
38,cora,50,0.5,0.800000011920929,0.7713578343391418,0.9508771896362305,0.8035493493080139
39,cora,50,0.5,0.8175438642501831,0.7825010418891907,0.9614035487174988,0.8757738471031189
40,cora,50,0.5,0.800000011920929,0.7845646142959595,0.8245614171028137,0.8105654120445251
41,cora,50,0.5,0.7789474129676819,0.8027239441871643,0.8491228222846985,0.7742468118667603
42,cora,50,0.5,0.9894737005233765,0.992571234703064,0.9789474010467529,0.9711102247238159
43,cora,50,0.5,0.9824561476707458,0.9781262874603271,0.9859649538993835,0.9764754772186279
44,cora,50,0.5,0.7684210538864136,0.7544366717338562,0.9754385948181152,0.9174576997756958
45,cora,50,0.5,0.9508771896362305,0.9434585571289062,0.9719298481941223,0.9038382172584534
46,cora,50,0.5,0.9719298481941223,0.9612051248550415,0.9964912533760071,0.9942220449447632
47,cora,50,0.5,0.8631579279899597,0.8621543645858765,0.9929824471473694,0.9723483324050903
48,cora,50,0.5,0.7824561595916748,0.7853900194168091,0.9578947424888611,0.8551383018493652
49,cora,50,0.5,0.9298245906829834,0.9310771822929382,0.9894737005233765,0.9731737971305847
50,cora,50,0.5,0.8631579279899597,0.8749484419822693,0.9684211015701294,0.9104416370391846
51,cora,50,0.5,0.898245632648468,0.9182831645011902,0.9438596963882446,0.8567891120910645
52,cora,50,0.5,0.8526315689086914,0.8221213817596436,0.8456140756607056,0.8353281021118164
53,cora,50,0.5,0.9894737005233765,0.9793644547462463,0.9894737005233765,0.980189859867096
54,cora,50,0.5,0.7789474129676819,0.772596001625061,0.8912280797958374,0.9310771822929382
55,cora,50,0.5,0.936842143535614,0.9376806020736694,0.9859649538993835,0.9682212471961975
56,cora,50,0.5,0.9473684430122375,0.9459348320960999,0.9824561476707458,0.9723483324050903
57,cora,50,0.5,0.8350877165794373,0.8142798542976379,0.8912280797958374,0.9451093673706055
58,cora,50,0.5,0.8526315689086914,0.8749484419822693,0.8280701637268066,0.8658688068389893
59,cora,50,0.5,0.9263157844543457,0.933140754699707,0.9614035487174988,0.926124632358551
60,cora,50,0.5,0.9929824471473694,0.9867932796478271,0.9964912533760071,0.9830788373947144
61,cora,50,0.5,0.8105263113975525,0.7936442494392395,0.8947368860244751,0.776310384273529
62,cora,50,0.5,0.7684210538864136,0.7523730993270874,0.9754385948181152,0.8931077122688293
63,cora,50,0.5,0.9578947424888611,0.9570780396461487,0.7719298601150513,0.9046636819839478
64,cora,50,0.5,0.9228070378303528,0.9112670421600342,0.9403508901596069,0.8076764345169067
65,cora,50,0.5,0.8561403751373291,0.8390425443649292,0.9754385948181152,0.9434585571289062
66,cora,50,0.5,0.9824561476707458,0.9830788373947144,0.9859649538993835,0.9760627746582031
67,cora,50,0.5,0.936842143535614,0.933140754699707,0.9824561476707458,0.9636813998222351
68,cora,50,0.5,0.9543859958648682,0.9521254897117615,0.9964912533760071,0.992571234703064
69,cora,50,0.5,0.9403508901596069,0.9352043271064758,0.9719298481941223,0.9352043271064758
70,cora,50,0.5,0.9087719321250916,0.911679744720459,0.9473684430122375,0.8774247169494629
71,cora,50,0.5,0.9824561476707458,0.9793644547462463,0.9929824471473694,0.9739992022514343
72,cora,50,0.5,0.7824561595916748,0.7771357893943787,0.7789474129676819,0.9463475346565247
73,cora,50,0.5,0.9684211015701294,0.9649195671081543,0.9964912533760071,0.9723483324050903
74,cora,50,0.5,0.936842143535614,0.9471729397773743,0.9859649538993835,0.9768881797790527
75,cora,50,0.5,0.9789474010467529,0.9731737971305847,0.9894737005233765,0.9752373099327087
76,cora,50,0.5,1.0,0.9905076622962952,0.9859649538993835,0.9665703773498535
