date,seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,ratio_g0,ratio_gX,ratio_g0gX,base_g0,base_gX,d_g0,d_gX,edges,add_g0,add_gX,add_g0gX,remove_g0,remove_gX,remove_g0gX
2022-04-05-19:04:45,100,cora,0.1,100,30,0.1,20,500,0.15861466526985168,0.24472321569919586,0.596662163734436,0.6940298080444336,0.7557377219200134,-0.33582085371017456,-0.008196711540222168,1075.0,182 (9.89% similar),103 (24.27% similar),789 (4.18% similar),0,0,1 (0.00% similar)
2022-04-05-19:05:03,100,cora,0.1,100,30,0.25,20,500,0.16755592823028564,0.26893991231918335,0.5635042190551758,0.6940298080444336,0.7557377219200134,-0.4216417670249939,-0.03442627191543579,2699.0,559 (15.74% similar),329 (21.58% similar),1811 (5.30% similar),0,0,0
2022-04-05-19:05:21,100,cora,0.1,100,30,0.5,20,500,0.08873516321182251,0.3667169511318207,0.5445479154586792,0.6940298080444336,0.7557377219200134,-0.5298507064580917,-0.0413934588432312,5372.0,1213 (16.49% similar),644 (31.37% similar),3514 (4.89% similar),0,1 (100.00% similar),0
2022-04-05-19:05:38,101,cora,0.1,100,30,0.1,20,500,0.0959293395280838,0.3257989287376404,0.578271746635437,0.7721088528633118,0.7605633735656738,-0.36054423451423645,-0.02402651309967041,1032.0,188 (13.30% similar),107 (29.91% similar),737 (5.16% similar),0,0,0
2022-04-05-19:05:57,101,cora,0.1,100,30,0.25,20,500,0.08127346634864807,0.3667025566101074,0.5520240068435669,0.7721088528633118,0.7605633735656738,-0.5204081833362579,-0.058409273624420166,2651.0,542 (14.39% similar),339 (29.20% similar),1770 (4.92% similar),0,0,0
2022-04-05-19:06:15,101,cora,0.1,100,30,0.5,20,500,0.06847014278173447,0.36559364199638367,0.565936267375946,0.7721088528633118,0.7605633735656738,-0.5578231364488602,-0.07705050706863403,5267.0,1137 (16.36% similar),680 (39.26% similar),3447 (5.16% similar),0,1 (100.00% similar),2 (50.00% similar)
2022-04-05-19:06:32,102,cora,0.1,100,30,0.1,20,500,0.06793433427810669,0.39141547679901123,0.5406502485275269,0.7752808928489685,0.7910692095756531,-0.40449437499046326,-0.03687012195587158,1089.0,170 (14.12% similar),81 (27.16% similar),836 (4.78% similar),0,0,2 (0.00% similar)
2022-04-05-19:06:50,102,cora,0.1,100,30,0.25,20,500,0.03900950402021408,0.42600661516189575,0.5349838733673096,0.7752808928489685,0.7910692095756531,-0.5318351984024048,-0.05858254432678223,2713.0,490 (17.14% similar),326 (24.54% similar),1895 (5.54% similar),0,0,2 (50.00% similar)
2022-04-05-19:07:09,102,cora,0.1,100,30,0.5,20,500,0.07294978946447372,0.40556880831718445,0.5214813947677612,0.7752808928489685,0.7910692095756531,-0.6217228323221207,-0.07742726802825928,5358.0,1009 (20.42% similar),701 (27.25% similar),3641 (5.08% similar),0,3 (66.67% similar),4 (50.00% similar)
2022-04-05-19:07:26,103,cora,0.1,100,30,0.1,20,500,0.14112433791160583,0.2770366668701172,0.5818389654159546,0.7816901206970215,0.7875412702560425,-0.34507042169570923,-0.015676558017730713,1119.0,181 (8.84% similar),116 (28.45% similar),821 (4.99% similar),1 (100.00% similar),0,0
