date,seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,base_g0,base_gX,d_g0,d_gX,t0_task,t0_g0,d_t0_g0,t0_gX,d_t0_gX,t1_task,t1_g0,d_t1_g0,t1_gX,d_t1_gX,t2_task,t2_g0,d_t2_g0,t2_gX,d_t2_gX,t3_task,t3_g0,d_t3_g0,t3_gX,d_t3_gX,t4_task,t4_g0,d_t4_g0,t4_gX,d_t4_gX
2022-04-05-19:07:40,103,cora,0.1,100,30,0.25,20,500,0.7816901206970215,0.7875412702560425,-0.47535210847854614,-0.03754127025604248,629,0.9894366264343262,0.0,0.9909241199493408,-0.006188094615936279,89,0.9683098196983337,0.010563373565673828,0.9504950642585754,-0.00453794002532959,1428,0.9964788556098938,-0.007042229175567627,0.9773102402687073,-0.001237630844116211,872,0.98591548204422,0.003521144390106201,0.9702970385551453,-0.01485145092010498,771,0.9929577112197876,0.007042288780212402,0.9884488582611084,0.004950523376464844
2022-04-05-19:07:57,103,cora,0.1,100,30,0.5,20,500,0.7816901206970215,0.7875412702560425,-0.6091549098491669,-0.05940592288970947,629,0.9894366264343262,-0.01408451795578003,0.9909241199493408,-0.002475261688232422,89,0.9683098196983337,0.007042288780212402,0.9504950642585754,-0.009488463401794434,1428,0.9964788556098938,0.003521144390106201,0.9773102402687073,0.007013201713562012,872,0.98591548204422,0.01408451795578003,0.9702970385551453,-0.014026403427124023,771,0.9929577112197876,0.007042288780212402,0.9884488582611084,0.0028877854347229004
2022-04-05-19:08:16,104,cora,0.1,100,30,0.1,20,500,0.7727272510528564,0.7576383352279663,-0.35314685106277466,-0.043765485286712646,1280,0.9860139489173889,0.01048952341079712,0.9768786430358887,0.0,669,0.996503472328186,0.003496527671813965,0.9913294911384583,0.0,546,0.9720279574394226,0.006992995738983154,0.9710983037948608,-0.033030569553375244,1046,0.9825174808502197,-0.006992995738983154,0.9801816940307617,-0.008257627487182617,1270,0.996503472328186,0.0,0.9929810166358948,0.0008257627487182617
2022-04-05-19:08:34,104,cora,0.1,100,30,0.25,20,500,0.7727272510528564,0.7576383352279663,-0.5419580191373825,-0.06853842735290527,1280,0.9860139489173889,0.01048952341079712,0.9768786430358887,-0.00041288137435913086,669,0.996503472328186,0.003496527671813965,0.9913294911384583,0.0008257627487182617,546,0.9720279574394226,0.02097904682159424,0.9710983037948608,-0.023947179317474365,1046,0.9825174808502197,-0.006992995738983154,0.9801816940307617,-0.021469831466674805,1270,0.996503472328186,0.003496527671813965,0.9929810166358948,0.0012386441230773926
2022-04-05-19:08:52,104,cora,0.1,100,30,0.5,20,500,0.7727272510528564,0.7576383352279663,-0.6083915829658508,-0.09042114019393921,1280,0.9860139489173889,0.01048952341079712,0.9768786430358887,0.0016515254974365234,669,0.996503472328186,0.003496527671813965,0.9913294911384583,0.0008257627487182617,546,0.9720279574394226,0.027972042560577393,0.9710983037948608,-0.03550785779953003,1046,0.9825174808502197,0.0034964680671691895,0.9801816940307617,-0.00949627161026001,1270,0.996503472328186,0.003496527671813965,0.9929810166358948,-0.008257627487182617
2022-04-05-19:09:12,100,citeseer,0.1,100,30,0.1,20,500,0.6949685215950012,0.6406145691871643,-0.35849055647850037,-0.05778223276138306,3482,0.9874213337898254,0.003144681453704834,0.9983300566673279,-0.0066800713539123535,151,0.9905660152435303,0.0,0.9953240156173706,-0.0013359785079956055,1724,0.9968553185462952,0.0,0.9953240156173706,0.00033402442932128906,1735,0.9937106370925903,0.0,0.9963260293006897,0.00033402442932128906,3694,0.9874213337898254,0.003144681453704834,0.9983300566673279,-0.0023380517959594727
2022-04-05-19:09:35,100,citeseer,0.1,100,30,0.25,20,500,0.6949685215950012,0.6406145691871643,-0.5094339400529861,-0.047762155532836914,3482,0.9874213337898254,0.006289303302764893,0.9983300566673279,-0.0023380517959594727,151,0.9905660152435303,-0.04716980457305908,0.9953240156173706,-0.00033396482467651367,1724,0.9968553185462952,0.0031446218490600586,0.9953240156173706,-0.0013359785079956055,1735,0.9937106370925903,-0.0031446218490600586,0.9963260293006897,0.00033402442932128906,3694,0.9874213337898254,0.003144681453704834,0.9983300566673279,-0.0023380517959594727
2022-04-05-19:09:57,100,citeseer,0.1,100,30,0.5,20,500,0.6949685215950012,0.6406145691871643,-0.5314465165138245,-0.10187041759490967,3482,0.9874213337898254,0.006289303302764893,0.9983300566673279,-0.0020040273666381836,151,0.9905660152435303,-0.08805030584335327,0.9953240156173706,0.00033402442932128906,1724,0.9968553185462952,0.0031446218490600586,0.9953240156173706,-0.00768202543258667,1735,0.9937106370925903,-0.30817604064941406,0.9963260293006897,0.0013359785079956055,3694,0.9874213337898254,0.003144681453704834,0.9983300566673279,-0.0023380517959594727
2022-04-05-19:10:18,101,citeseer,0.1,100,30,0.1,20,500,0.6712707281112671,0.6349152326583862,-0.3038673996925354,-0.02406775951385498,762,0.9530386924743652,0.0,0.9579660892486572,-0.008813560009002686,2382,0.9889503121376038,0.008287310600280762,0.995593249797821,0.0010169148445129395,1513,1.0,-0.0027623772621154785,0.997288167476654,0.0,1710,0.9972376227378845,-0.008287310600280762,0.9976271390914917,-0.002372920513153076,2913,0.9972376227378845,-0.019337058067321777,0.9959322214126587,-0.01525425910949707
2022-04-05-19:10:41,101,citeseer,0.1,100,30,0.25,20,500,0.6712707281112671,0.6349152326583862,-0.47237569093704224,-0.09016948938369751,762,0.9530386924743652,0.002762436866760254,0.9579660892486572,-0.026101648807525635,2382,0.9889503121376038,0.008287310600280762,0.995593249797821,0.0010169148445129395,1513,1.0,-0.0027623772621154785,0.997288167476654,-0.0003390312194824219,1710,0.9972376227378845,-0.005524873733520508,0.9976271390914917,-0.003050863742828369,2913,0.9972376227378845,0.0,0.9959322214126587,-0.0027118921279907227
2022-04-05-19:11:02,101,citeseer,0.1,100,30,0.5,20,500,0.6712707281112671,0.6349152326583862,-0.5248618870973587,-0.08644068241119385,762,0.9530386924743652,0.002762436866760254,0.9579660892486572,-0.015593230724334717,2382,0.9889503121376038,0.008287310600280762,0.995593249797821,0.001355886459350586,1513,1.0,-0.0027623772621154785,0.997288167476654,-0.0016949176788330078,1710,0.9972376227378845,-0.022099435329437256,0.9976271390914917,-0.011864423751831055,2913,0.9972376227378845,-0.04419893026351929,0.9959322214126587,-0.0006780028343200684
2022-04-05-19:11:24,102,citeseer,0.1,100,30,0.1,20,500,0.6595744490623474,0.6604089736938477,-0.4437689781188965,-0.05732482671737671,2089,1.0,0.0,0.9939658045768738,0.0013409852981567383,2842,0.9878419637680054,-0.01823711395263672,0.9875963926315308,0.004358053207397461,1482,0.9908814430236816,-0.0030394792556762695,0.9963124394416809,-0.0010056495666503906,854,0.9939209818840027,-0.0060790181159973145,0.993630588054657,-0.0016761422157287598,2319,0.978723406791687,0.003039538860321045,0.9882668852806091,-0.005698978900909424
2022-04-05-19:11:46,102,citeseer,0.1,100,30,0.25,20,500,0.6595744490623474,0.6604089736938477,-0.5379939004778862,-0.05631911754608154,2089,1.0,-0.024316072463989258,0.9939658045768738,0.00033527612686157227,2842,0.9878419637680054,-0.155015230178833,0.9875963926315308,0.004358053207397461,1482,0.9908814430236816,-0.03951364755630493,0.9963124394416809,-0.0006704330444335938,854,0.9939209818840027,-0.04863220453262329,0.993630588054657,-0.002346634864807129,2319,0.978723406791687,-0.0030394792556762695,0.9882668852806091,0.0053637027740478516
2022-04-05-19:12:08,102,citeseer,0.1,100,30,0.5,20,500,0.6595744490623474,0.6604089736938477,-0.5714285522699356,-0.07308077812194824,2089,1.0,-0.088145911693573,0.9939658045768738,0.0016762018203735352,2842,0.9878419637680054,-0.2917933464050293,0.9875963926315308,0.00670468807220459,1482,0.9908814430236816,-0.20060789585113525,0.9963124394416809,0.00033527612686157227,854,0.9939209818840027,-0.21884500980377197,0.993630588054657,0.0013409256935119629,2319,0.978723406791687,-0.10334348678588867,0.9882668852806091,0.0056989192962646484
2022-04-05-19:12:29,103,citeseer,0.1,100,30,0.1,20,500,0.581818163394928,0.6173708438873291,-0.3060605823993683,-0.054996609687805176,2107,0.9878787398338318,0.0,0.993293046951294,-0.0006706714630126953,1116,0.9727272391319275,0.009090900421142578,0.9678068161010742,0.007042229175567627,1009,0.9909090399742126,-0.0030303001403808594,0.996646523475647,-0.00033533573150634766,2671,0.9909090399742126,-0.006060600280761719,0.993293046951294,-0.04158282279968262,3624,0.9969696402549744,-0.0030303001403808594,0.996646523475647,-0.0006707310676574707
2022-04-05-19:12:52,103,citeseer,0.1,100,30,0.25,20,500,0.581818163394928,0.6173708438873291,-0.4424242228269577,-0.0767940878868103,2107,0.9878787398338318,0.0,0.993293046951294,-0.001006007194519043,1116,0.9727272391319275,-0.15757572650909424,0.9678068161010742,-0.001341402530670166,1009,0.9909090399742126,-0.009090900421142578,0.996646523475647,-0.00033533573150634766,2671,0.9909090399742126,0.0,0.993293046951294,-0.001006007194519043,3624,0.9969696402549744,-0.009090900421142578,0.996646523475647,0.0
2022-04-05-19:13:14,103,citeseer,0.1,100,30,0.5,20,500,0.581818163394928,0.6173708438873291,-0.46666665375232697,-0.08853113651275635,2107,0.9878787398338318,0.0,0.993293046951294,-0.0013413429260253906,1116,0.9727272391319275,-0.3757575750350952,0.9678068161010742,0.020120739936828613,1009,0.9909090399742126,-0.09696966409683228,0.996646523475647,0.00033533573150634766,2671,0.9909090399742126,0.0,0.993293046951294,0.0006706714630126953,3624,0.9969696402549744,-0.0878787636756897,0.996646523475647,0.0006706714630126953
2022-04-05-19:13:35,104,citeseer,0.1,100,30,0.1,20,500,0.615160346031189,0.6726170182228088,-0.2886297106742859,-0.054563820362091064,1845,1.0,0.0,0.9892219305038452,0.0023577213287353516,713,0.9941691160202026,0.0,0.9942741394042969,0.0016840696334838867,983,1.0,0.0,0.9949477910995483,-0.0006736516952514648,2346,0.9970845580101013,0.0,0.992590069770813,0.005389034748077393,1347,0.9970845580101013,-0.0029154419898986816,0.9942741394042969,0.0006736516952514648
2022-04-05-19:13:58,104,citeseer,0.1,100,30,0.25,20,500,0.615160346031189,0.6726170182228088,-0.43731777369976044,-0.08790838718414307,1845,1.0,0.0,0.9892219305038452,0.004378616809844971,713,0.9941691160202026,0.0,0.9942741394042969,0.002020895481109619,983,1.0,0.0,0.9949477910995483,-0.003031313419342041,2346,0.9970845580101013,0.0,0.992590069770813,0.005389034748077393,1347,0.9970845580101013,-0.014577209949493408,0.9942741394042969,-0.004041731357574463
2022-04-05-19:14:19,104,citeseer,0.1,100,30,0.5,20,500,0.615160346031189,0.6726170182228088,-0.48979590833187103,-0.08251935243606567,1845,1.0,0.0,0.9892219305038452,0.00505220890045166,713,0.9941691160202026,-0.03790086507797241,0.9942741394042969,0.002020895481109619,983,1.0,0.0,0.9949477910995483,0.0,2346,0.9970845580101013,-0.04664719104766846,0.992590069770813,0.005389034748077393,1347,0.9970845580101013,-0.262390673160553,0.9942741394042969,0.0023577213287353516
