seed,method,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,edges,base_g0,base_gX,label_d_g0,label_d_gX,label_dH_g0,label_dH_gX,label_dH_g0gX,trueFeats,task0_d_g0,task0_d_gX,task0_dH_g0,task0_dH_gX,task0_dH_g0gX,task1_d_g0,task1_d_gX,task1_dH_g0,task1_dH_gX,task1_dH_g0gX,task2_d_g0,task2_d_gX,task2_dH_g0,task2_dH_gX,task2_dH_g0gX
123,SLL,cora,0.1,100,30,0.1,20,500,1045.0,0.7438596487045288,0.772596001625061,-0.42266044757432986,-0.03582866837351025,-146,-63,-652,1177 1263 507,-0.048616617241557226,-0.022882951261088528,-6,9,34,-0.03138048574159187,-0.012190757478392192,12,-9,20,-0.034134016481776754,-0.02618632380754256,44,33,134
123,SLL,cora,0.1,100,30,0.25,20,500,2646.0,0.7438596487045288,0.772596001625061,-0.6152038530081158,-0.04211749966176581,-362,-227,-1515,1177 1263 507,-0.13690098900653405,-0.003155495787551921,-30,19,19,-0.05937987059603004,-0.0005273459235132969,6,3,19,-0.06006457120107038,-0.04320479598751444,110,45,253
123,SLL,cora,0.1,100,30,0.5,20,500,5279.0,0.7438596487045288,0.772596001625061,-0.7672523250409726,-0.09133108476202338,-651,-517,-3035,1177 1263 507,-0.22321568968769695,0.02119071453735636,23,13,37,-0.07856088744712726,-0.027023188133074437,23,83,123,0.011702441878781075,-0.06160232545444791,211,137,519
123,SLL,Polblogs,0.1,100,30,0.1,20,500,2360.0,0.8145695328712463,0.8483943343162537,-0.29458722426530815,0.017999137470539234,-165,173,-518,2 1 0,0.03219006385829859,0.017574493374605742,735,319,1300,0.03733048091561919,0.02272426602031652,735,321,1300,0.04160722258648245,0.037513520765348016,735,321,1300
123,SLL,Polblogs,0.1,100,30,0.25,20,500,3970.0,0.8145695328712463,0.8483943343162537,-0.4365034680260397,0.019085065661170558,-232,367,-851,2 1 0,0.020788744815672278,0.003375704441159792,990,711,2247,0.009818918643394792,0.005177838831985637,990,715,2247,0.02321424219610842,0.02836287864737419,990,713,2247
123,SLL,Polblogs,0.1,100,30,0.5,20,500,6091.0,0.8145695328712463,0.8483943343162537,-0.5705385130244299,0.0290430927212754,-265,660,-1066,2 1 0,-0.11445696254490867,0.008355908445298729,1241,1420,3404,-0.10888480632878679,0.017838810728695385,1241,1426,3404,-0.1335436930343799,0.02989978227025114,1241,1420,3404
