seed,method,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,base_g0,base_gX,d_g0,d_gX,edges,dH_g0,dH_gX,dH_g0gX
123,SLL,cora,0.1,100,30,0.25,20,500,0.7719298601150513,0.7915806770324707,-0.6545111942066253,-0.046299127738613444,2614.0,-326,-163,-1659
123,simplistic1,flickr,0.1,100,30,0.1,20,500,0.48067009449005127,0.4753640294075012,-0.05394317438901244,-0.009242910503782654,4620,1082,0,0
123,simplistic2,flickr,0.1,100,30,0.1,20,500,0.48067009449005127,0.4753640294075012,0.04454399237009388,-0.21630154715680583,89574,1082,0,21877
123,SLL,flickr,0.1,100,30,0.1,20,500,0.5090206265449524,0.4733048975467682,-0.6284512344575764,-0.04498723516438463,9439.0,-4474,-34,-3317
123,SLLnoSample,flickr,0.1,100,30,0.1,20,500,0.47036081552505493,0.47962936758995056,-0.187215678436434,-0.03522216336366406,47882.0,-54,-1416,-6843
123,noise,flickr,0.1,100,30,0.1,20,500,0.4716494679450989,0.46565672755241394,-0.4574082942519627,-0.02903485788733238,48096.0,-18505,0,0
123,SLL,flickr,0.1,100,30,0.25,20,500,0.5090206265449524,0.4733048975467682,-0.6786361870107389,-0.033024315095543204,21164.0,-10231,-70,-6879
123,SLLnoSample,flickr,0.1,100,30,0.25,20,500,0.47036081552505493,0.47962936758995056,-0.009213495415954329,-0.06408398067354293,119991.0,-76,-2085,-7196
123,noise,flickr,0.1,100,30,0.25,20,500,0.4716494679450989,0.46565672755241394,-0.5156939440844263,-0.031219119338619716,119741.0,-45898,0,0
123,SLL,flickr,0.1,100,30,0.5,20,500,0.5090206265449524,0.4733048975467682,-0.7461498497860055,-0.03196003683668818,34553.0,-16024,-146,-11759
123,SLLnoSample,flickr,0.1,100,30,0.5,20,500,0.47036081552505493,0.47962936758995056,0.0851846626148542,-0.11200839740451655,239783.0,0,-24948,-2589
123,noise,flickr,0.1,100,30,0.5,20,500,0.4716494679450989,0.46565672755241394,-0.571206743711915,-0.03896587572932037,239599.0,-91965,0,0
123,simplistic1,cora,0.1,100,30,0.1,20,500,0.7473684549331665,0.7779611945152283,-0.045325307806705205,-0.0016285012336742172,170,-53,0,0
123,simplistic2,cora,0.1,100,30,0.1,20,500,0.7473684549331665,0.7779611945152283,-0.282347952125326,-0.016036769994415057,2330,-53,0,-610
123,SLL,cora,0.1,100,30,0.1,20,500,0.7508772015571594,0.7779611945152283,-0.3996329567625174,0.012246160179757548,1036.0,-141,-45,-694
123,SLLnoSample,cora,0.1,100,30,0.1,20,500,0.7438596487045288,0.7688815593719482,-0.4734449642413504,-0.018464133713820916,1061.0,-33,-174,-351
123,noise,cora,0.1,100,30,0.1,20,500,0.7438596487045288,0.758563756942749,-0.15048687561766574,0.00038419960933055997,1053.0,-345,0,0
123,SLL,cora,0.1,100,30,0.25,20,500,0.7508772015571594,0.7779611945152283,-0.6261141955401999,-0.010394913778455873,2612.0,-314,-218,-1648
123,SLLnoSample,cora,0.1,100,30,0.25,20,500,0.7438596487045288,0.7688815593719482,-0.5186657359632558,-0.012800154949523801,2645.0,-79,-169,-828
123,noise,cora,0.1,100,30,0.25,20,500,0.7438596487045288,0.758563756942749,-0.27006088408752016,-0.0034532967502755923,2666.0,-839,0,0
123,SLL,cora,0.1,100,30,0.5,20,500,0.7508772015571594,0.7779611945152283,-0.7704816796164624,-0.06599474241556995,5253.0,-609,-477,-3193
123,SLLnoSample,cora,0.1,100,30,0.5,20,500,0.7438596487045288,0.7688815593719482,-0.6043704550420381,-0.029017918941801543,5288.0,-44,-966,-1355
