dataname,debias_method,epochs,seed,debias_attr,reg_weight,temp,der1,heuristic_drop,ratio,f1_0,f1_1,f1_2,link
LastFM,aug,200,100,1,0.2,1.0,0.2,Y,5,0.7597061909758657,0.7287513116474291,0.6935991605456453,0.49062930654059383
LastFM,opposite,5,100,1,0.2,1.0,0.2,Y,10,0.7591815320041972,0.7339979013641134,0.6899265477439664,0.26766605537903077
LastFM,r,200,100,1,0.2,1.0,0.2,Y,10,0.7518363064008394,0.7177334732423925,0.6862539349422875,0.4714051341625262
LastFM,r,200,100,1,50,1.0,0.2,Y,10,0.75498426023085,0.7082896117523609,0.670514165792235,0.3413154881257408
