dataname,debias_method,epochs,seed,debias_attr,reg_weight,temp,der1,ratio,f1_0,f1_1,f1_2,link
LastFM,r,200,100,2,10.0,1.0,0.2,5.0,0.753934942287513,0.720881427072403,0.6673662119622246,0.45216497468292105
LastFM,aug-n,200,100,2,10.0,1.0,0.2,10.0,0.7586568730325288,0.7182581322140608,0.6810073452256034,0.49584037222798744
LastFM,opposite,200,100,1,10.0,1.0,0.2,5.0,0.7518363064008394,0.7177334732423925,0.6836306400839455,0.4940209553667684
LastFM,aug-n,200,100,0,10.0,1.0,0.2,20.0,0.7586568730325288,0.7193074501573976,0.6820566631689402,0.4958406478950091
LastFM,aug,200,100,1,10.0,1.0,0.2,5.0,0.7544596012591815,0.7266526757607555,0.6794333683105981,0.49624115918028167
LastFM,aug-n,200,100,1,10.0,1.0,0.2,20.0,0.7586568730325288,0.7193074501573976,0.6810073452256034,0.49581019721848957
LastFM,aug-n,200,100,2,10.0,1.0,0.2,20.0,0.7597061909758657,0.7203567681007346,0.6841552990556139,0.4955213204497569
LastFM,aug-n,200,100,1,10.0,1.0,0.2,5.0,0.7591815320041972,0.7177334732423925,0.683105981112277,0.49589484213409546
LastFM,aug-r,200,100,1,10.0,1.0,0.2,5.0,0.7570828961175237,0.7245540398740817,0.6768100734522561,0.39823980833057765
LastFM,opposite-r,200,100,1,10.0,1.0,0.2,5.0,0.7392444910807975,0.7061909758656874,0.6726128016789087,0.43765157257555765
LastFM,r,200,100,1,10.0,1.0,0.2,5.0,0.7513116474291711,0.7051416579223505,0.6568730325288562,0.42971984531983465
LastFM,opposite,200,100,0,10.0,1.0,0.2,5.0,0.7591815320041972,0.7219307450157396,0.6852046169989506,0.4949582960086453
LastFM,aug,200,100,0,10.0,1.0,0.2,5.0,0.7528856243441763,0.7219307450157396,0.6710388247639034,0.4951724475948609
LastFM,aug-r,200,100,0,10.0,1.0,0.2,5.0,0.7507869884575026,0.7161594963273872,0.674186778593914,0.3971999526421259
LastFM,aug-n,200,100,0,10.0,1.0,0.2,5.0,0.7586568730325288,0.7198321091290661,0.6815320041972718,0.49574753399466354
