date,seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,ratio_g0,ratio_gX,ratio_g0gX,base_g0,base_gX,d_g0,d_gX,edges,add_g0,add_gX,add_g0gX,remove_g0,remove_gX,remove_g0gX
2022-04-05-14:22:13,103,citeseer,0.1,100,30,0.1,20,500,1,1,1,0.5969696640968323,0.6381622552871704,-0.0878787636756897,-0.02179741859436035,929.0,15 (6.67% similar),11 (18.18% similar),81 (7.41% similar),0,0,0
2022-04-05-14:22:27,103,citeseer,0.1,100,30,0.25,20,500,1,1,1,0.5969696640968323,0.6381622552871704,0.02121216058731079,-0.011737048625946045,2272.0,4 (0.00% similar),67 (13.43% similar),50 (6.00% similar),0,0,0
2022-04-05-14:22:41,103,citeseer,0.1,100,30,0.5,20,500,1,1,1,0.5969696640968323,0.6381622552871704,-0.17272725701332092,-0.00871896743774414,4429.0,127 (0.79% similar),63 (9.52% similar),1218 (3.69% similar),0,0,1 (100.00% similar)
2022-04-05-14:22:54,104,citeseer,0.1,100,30,0.1,20,500,1,1,1,0.638484001159668,0.670932948589325,-0.1953352987766266,-0.011114835739135742,920.0,51 (13.73% similar),24 (16.67% similar),433 (2.54% similar),0,0,0
2022-04-05-14:23:07,104,citeseer,0.1,100,30,0.25,20,500,1,1,1,0.638484001159668,0.670932948589325,-0.00874638557434082,-0.011114835739135742,2261.0,3 (0.00% similar),404 (9.16% similar),39 (5.13% similar),0,0,0
2022-04-05-14:23:21,104,citeseer,0.1,100,30,0.5,20,500,1,1,1,0.638484001159668,0.670932948589325,-0.011661827564239502,0.004378616809844971,4547.0,0,1377 (9.22% similar),183 (9.84% similar),0,0,0
2022-04-05-14:23:31,100,Polblogs,0.1,100,30,0.1,20,500,1,1,1,0.800000011920929,0.8435423970222473,-0.4074074327945709,0.03394836187362671,3281.0,29 (75.86% similar),667 (95.35% similar),310 (20.32% similar),0,0,0
2022-04-05-14:23:43,100,Polblogs,0.1,100,30,0.25,20,500,1,1,1,0.800000011920929,0.8435423970222473,-0.4296296536922455,0.05387455224990845,8402.0,0,2723 (84.02% similar),765 (28.76% similar),0,0,0
2022-04-05-14:23:55,100,Polblogs,0.1,100,30,0.5,20,500,1,1,1,0.800000011920929,0.8435423970222473,-0.35555556416511536,0.030996322631835938,16738.0,89 (100.00% similar),7642 (54.34% similar),1475 (29.49% similar),0,0,0
2022-04-05-14:24:06,101,Polblogs,0.1,100,30,0.1,20,500,1,1,1,0.8211920261383057,0.8177744746208191,-0.4304635524749756,0.06497383117675781,3277.0,15 (100.00% similar),961 (85.64% similar),1089 (21.58% similar),0,0,0
2022-04-05-14:24:17,101,Polblogs,0.1,100,30,0.25,20,500,1,1,1,0.8211920261383057,0.8177744746208191,-0.41059601306915283,0.08887231349945068,8379.0,0,3587 (72.93% similar),1363 (19.81% similar),0,0,0
2022-04-05-14:24:28,101,Polblogs,0.1,100,30,0.5,20,500,1,1,1,0.8211920261383057,0.8177744746208191,-0.4039734899997711,0.04929053783416748,16797.0,1 (100.00% similar),7853 (66.94% similar),1416 (28.25% similar),0,1 (100.00% similar),0
2022-04-05-14:24:39,102,Polblogs,0.1,100,30,0.1,20,500,1,1,1,0.8048779964447021,0.8122172355651855,-0.4695121645927429,0.1108596920967102,3370.0,154 (100.00% similar),647 (96.91% similar),985 (5.58% similar),0,0,0
2022-04-05-14:24:51,102,Polblogs,0.1,100,30,0.25,20,500,1,1,1,0.8048779964447021,0.8122172355651855,-0.48170727491378784,0.06561082601547241,8366.0,10 (100.00% similar),3333 (83.83% similar),1191 (23.26% similar),0,0,0
