date,seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,base_g0,base_gX,d_g0,d_gX,t0_task,t0_g0,d_t0_g0,t0_gX,d_t0_gX,t1_task,t1_g0,d_t1_g0,t1_gX,d_t1_gX,t2_task,t2_g0,d_t2_g0,t2_gX,d_t2_gX,t3_task,t3_g0,d_t3_g0,t3_gX,d_t3_gX,t4_task,t4_g0,d_t4_g0,t4_gX,d_t4_gX
2022-04-04-23:10:57,100,Polblogs,0.1,100,30,0.25,20,500,0.800000011920929,0.8546125292778015,-0.32592594623565674,-0.001475989818572998,909,0.9851851463317871,-0.24444442987442017,0.9896678924560547,0.0,451,0.8814814686775208,-0.1111111044883728,0.9261992573738098,0.07011067867279053,400,0.9851851463317871,-0.21481478214263916,0.9896678924560547,0.0022140145301818848,998,0.9851851463317871,-0.25185179710388184,0.9889298677444458,0.005904078483581543,1207,0.9851851463317871,-0.21481478214263916,0.9933578968048096,-0.0022140145301818848
2022-04-04-23:11:12,101,Polblogs,0.1,100,30,0.25,20,500,0.8410596251487732,0.8379387855529785,-0.4039735198020935,0.010455548763275146,348,0.9801324605941772,-0.251655638217926,0.9790889024734497,0.017923831939697266,828,0.9867549538612366,-0.1655629277229309,0.949215829372406,0.04779690504074097,477,0.9668874144554138,-0.21854305267333984,0.9507095217704773,0.04630321264266968,1403,0.9668874144554138,-0.251655638217926,0.9716206192970276,0.025392115116119385,1419,1.0,-0.24503308534622192,0.9962658882141113,0.0007468461990356445
2022-04-04-23:11:28,102,Polblogs,0.1,100,30,0.25,20,500,0.7621951103210449,0.7963801026344299,-0.40243902802467346,-0.01282048225402832,959,0.9999999403953552,-0.23170727491378784,0.994720995426178,-0.005279064178466797,1091,0.9756097197532654,-0.20121949911117554,0.9781297445297241,0.01432877779006958,733,0.9999999403953552,-0.24999994039535522,0.9856712222099304,0.004524886608123779,649,0.957317054271698,-0.22560977935791016,0.9698340892791748,0.018099546432495117,503,0.9207316637039185,-0.15853655338287354,0.9645550847053528,0.024132728576660156
2022-04-04-23:11:43,103,Polblogs,0.1,100,30,0.25,20,500,0.8289473652839661,0.8258594870567322,-0.31578946113586426,-0.002989530563354492,387,1.0,-0.31578946113586426,0.9970104694366455,0.0,1413,0.9736841917037964,-0.27631574869155884,0.9887892603874207,0.0074738264083862305,341,0.9736841917037964,-0.30263155698776245,0.9693572521209717,0.02316892147064209,830,0.9934210777282715,-0.30921053886413574,0.9760836958885193,0.019432008266448975,694,0.9802631735801697,-0.2763158082962036,0.958893895149231,0.03587442636489868
2022-04-04-23:11:58,104,Polblogs,0.1,100,30,0.25,20,500,0.7696969509124756,0.7524528503417969,-0.2969696819782257,0.08150941133499146,152,0.8969696760177612,-0.012121200561523438,0.9509434103965759,0.043018877506256104,781,0.9878787398338318,-0.06060606241226196,0.994717001914978,0.0015094280242919922,821,0.9878787398338318,-0.06666666269302368,0.998490571975708,-0.0015094280242919922,830,0.9757575392723083,-0.1454545259475708,0.99622642993927,-0.024150967597961426,969,0.9939393401145935,-0.10909086465835571,0.996981143951416,-0.0037735700607299805
2022-04-04-23:13:12,100,flickr,0.1,100,30,0.25,20,500,0.4739011228084564,0.47173944115638733,-0.3324176073074341,-0.035343945026397705,6620,0.9986264109611511,0.0,0.9983934760093689,0.0,5723,0.9972527623176575,0.0,0.996786892414093,0.00029212236404418945,10475,0.9972527623176575,0.0,0.9963487982749939,0.00014603137969970703,1913,0.9931318759918213,0.0,0.9934278130531311,-0.0005842447280883789,8066,0.9986264109611511,0.001373589038848877,0.996786892414093,0.001606583595275879
2022-04-04-23:14:40,101,flickr,0.1,100,30,0.25,20,500,0.4897172152996063,0.4974253475666046,-0.3367609232664108,-0.03530970215797424,714,0.9974293112754822,-0.03598970174789429,0.9939679503440857,0.0008827447891235352,4585,0.9974293112754822,-0.16452443599700928,0.9974989295005798,-0.002353966236114502,683,0.9910025596618652,-0.09254497289657593,0.9913197159767151,-0.00456082820892334,3253,0.9961439371109009,-0.021850883960723877,0.9963219165802002,-0.0004413723945617676,7988,1.0,-0.019280195236206055,0.998528778553009,0.0005884766578674316
2022-04-04-23:16:09,102,flickr,0.1,100,30,0.25,20,500,0.46780550479888916,0.48165541887283325,-0.3088041990995407,-0.011593788862228394,10916,1.0,0.0,0.9991194605827332,0.0,3166,0.9973718523979187,0.0,0.9980921745300293,0.0,6216,0.998685896396637,0.0,0.9979454278945923,0.00014674663543701172,4056,0.9973718523979187,-0.006570279598236084,0.9969180822372437,0.0011740922927856445,613,0.9921156167984009,-0.014454662799835205,0.9926621317863464,-0.01673024892807007
2022-04-04-23:17:37,103,flickr,0.1,100,30,0.25,20,500,0.48051947355270386,0.4889052212238312,-0.3246753215789795,-0.01043352484703064,3198,0.998701274394989,0.0,0.9976487755775452,0.0001469254493713379,388,0.9922077655792236,0.0,0.990301251411438,-0.00044089555740356445,9566,1.0,0.0,0.9976487755775452,-0.0007347464561462402,668,0.9896103739738464,0.0,0.9922115802764893,-0.00029391050338745117,594,0.9935064911842346,0.0,0.9917707443237305,0.0016164779663085938
2022-04-04-23:19:05,104,flickr,0.1,100,30,0.25,20,500,0.5267080664634705,0.5088626146316528,-0.3341614902019501,-0.027474164962768555,10075,0.9987577199935913,-0.02360248565673828,0.9989659786224365,0.00014770030975341797,1772,1.0,-0.02857142686843872,0.997636616230011,0.00014770030975341797,1541,0.9975154995918274,-0.060869574546813965,0.9955686330795288,0.0,7867,1.0,-0.0385093092918396,0.9986705780029297,0.00014770030975341797,9835,1.0,-0.024844765663146973,0.9989659786224365,0.00029540061950683594
2022-04-04-23:25:17,100,BlogCatalog,0.1,100,30,0.25,20,500,0.7085828185081482,0.7156549692153931,-0.3333333134651184,0.009371638298034668,1885,0.9980040192604065,-0.0019960403442382812,0.99148029088974,0.0,5278,0.9960079789161682,-0.001995980739593506,0.996592104434967,0.0,1291,0.9920159578323364,0.0,0.9882854223251343,0.0002129673957824707,7272,0.9940119981765747,-0.007984042167663574,0.9923322796821594,-0.0008519887924194336,5067,0.9960079789161682,0.0019960403442382812,0.9978700280189514,0.0
2022-04-04-23:26:04,101,BlogCatalog,0.1,100,30,0.25,20,500,0.7345454692840576,0.7057684063911438,-0.3145454525947571,-0.033146798610687256,4581,0.9927272796630859,0.005454540252685547,0.9845028519630432,0.013775289058685303,3529,0.9927272796630859,0.0,0.994834303855896,0.0,453,0.9781818389892578,-0.0036363601684570312,0.9638398885726929,-0.004519999027252197,2047,0.9872727394104004,-0.014545440673828125,0.9913904666900635,-0.047998249530792236,3466,0.9981818199157715,0.0,0.9969866871833801,0.0
2022-04-04-23:26:53,102,BlogCatalog,0.1,100,30,0.25,20,500,0.712909460067749,0.6790677905082703,-0.30443161725997925,0.004490077495574951,1606,0.9865125417709351,0.0,0.991875171661377,0.00021380186080932617,25,0.813102126121521,0.05587667226791382,0.8101347088813782,-0.013470172882080078,4949,0.9942196607589722,0.0019267797470092773,0.9959375858306885,0.0017105340957641602,2871,0.9922928810119629,0.0019267797470092773,0.9890956282615662,0.00513148307800293,3099,0.9961464405059814,0.0,0.9965790510177612,-0.0006414651870727539
2022-04-04-23:27:41,103,BlogCatalog,0.1,100,30,0.25,20,500,0.7267441749572754,0.70641028881073,-0.3604651093482971,-0.019230782985687256,104,0.9108527302742004,0.0,0.916239321231842,-0.0002136826515197754,7685,0.9961240291595459,0.0,0.9985042810440063,0.0002136826515197754,2159,0.9922480583190918,0.0,0.9918803572654724,0.0,4717,0.9961240291595459,0.0,0.9987179636955261,0.0,6631,0.9961240291595459,0.0,0.9982905983924866,0.0002136826515197754
2022-04-04-23:31:54,104,BlogCatalog,0.1,100,30,0.25,20,500,0.6573556661605835,0.6859841346740723,-0.2178770899772644,-0.002575695514678955,5961,0.9981378316879272,0.0,0.9978536367416382,0.0,1165,0.994413435459137,0.0,0.9959218502044678,0.0,152,0.9441341161727905,-0.0018622279167175293,0.9407598376274109,-0.00450742244720459,1423,0.9813780188560486,0.009311020374298096,0.9843314290046692,0.004936635494232178,5005,1.0,0.0,0.9974243640899658,0.0
