dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,changes_g0,changes_gX,changes_g0gX,num_classes,edges_modified,orig_edges,f1_g0_base_0,f1_gX_base_0,f1_g0_lock_0,f1_gX_lock_0,d_g0_0,d_gX_0,num_classes_0,f1_g0_base_1,f1_gX_base_1,f1_g0_lock_1,f1_gX_lock_1,d_g0_1,d_gX_1,num_classes_1
citeseer,124,config3.yml,large_cluster,0.1,30,noise,0.25,0.0,-0.03556771545827634,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,0.6141479099678456,0.7353529579879966,0.6832453051643192,-0.22320698675677153,0.0,-0.07551500351080091,4480.0,0.0,0.0,6,2240,4614,0.4536082474226804,0.5669988925802879,0.2268041237113402,0.5370985603543743,-0.5,-0.05273437499999996,6,0.7938144329896907,0.8095238095238095,0.7938144329896907,0.7807308970099668,0.0,-0.03556771545827634,2
citeseer,124,config3.yml,large_cluster,0.1,30,heuristic,0.25,0.0,0.009817671809256679,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,nan,0.7353529579879966,0.7353529579879966,nan,0.0,-0.005009223414482055,1194.0,0.0,1036.0,6,1115,4614,0.6082474226804123,0.5658914728682171,0.13402061855670103,0.5780730897009967,-0.7796610169491526,0.02152641878669277,6,0.7938144329896907,0.7895902547065338,0.7938144329896907,0.7973421926910299,0.0,0.009817671809256679,2
cora,123,config3.yml,random,0.1,30,sll,0.25,0.12903225806451601,0.05214723926380368,0.8099658961727927,0.8461538461538461,0.8168714555765595,0.8099658961727927,0.180622009569378,0.8062283737024222,0.5773260951900012,-0.7865376250543714,-0.013029077955264428,-0.2872217238800406,1572.0,206.0,3512.0,7,2645,5278,0.6526315789473685,0.7027624309392265,0.42105263157894735,0.7082872928176795,-0.35483870967741943,0.007861635220125765,7,0.6526315789473685,0.7204419889502761,0.7368421052631579,0.7580110497237568,0.12903225806451601,0.05214723926380368,2
cora,124,config3.yml,random,0.1,30,sll_no_g,0.25,0.11999999999999986,0.0861788617886179,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.29775280898876405,0.7836871508379888,0.6483094640484276,-0.6238911886457718,-0.029524944329413588,-0.1995842453221986,260.0,450.0,2292.0,7,1501,5278,0.6448598130841121,0.7290033594624858,0.5233644859813084,0.6808510638297872,-0.1884057971014493,-0.06605222734254974,7,0.7009345794392523,0.6886898096304591,0.7850467289719625,0.748040313549832,0.11999999999999986,0.0861788617886179,2
cora,124,config3.yml,random,0.1,30,noise,0.25,0.06329113924050635,-0.051529790660225436,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.18097361575622445,0.8075294117647058,0.5963893447796995,-0.7714017485184533,0.0,-0.2636858569012271,5290.0,0.0,0.0,7,2645,5278,0.7102803738317757,0.7077267637178052,0.4392523364485981,0.6819708846584547,-0.381578947368421,-0.03639240506329114,7,0.7383177570093457,0.6954087346024636,0.7850467289719625,0.6595744680851063,0.06329113924050635,-0.051529790660225436,2
cora,124,config3.yml,random,0.1,30,heuristic,0.25,-0.76,0.05536332179930795,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,nan,0.8075294117647058,0.8075294117647058,nan,0.0,-0.003008132094943261,96.0,0.0,1960.0,7,1028,5278,0.6542056074766355,0.7166853303471443,0.04672897196261682,0.6752519596864501,-0.9285714285714286,-0.05781249999999987,7,0.7009345794392523,0.6472564389697648,0.16822429906542055,0.683090705487122,-0.76,0.05536332179930795,2
citeseer,124,config3.yml,random,0.1,30,sll,0.25,0.022988505747126443,0.0521739130434783,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.1773308957952468,0.725373904074265,0.5224702812409394,-0.7783363802559414,-0.024497163486333236,-0.2930563408663653,1036.0,488.0,3300.0,6,2412,4614,0.5272727272727272,0.6280898876404495,0.2636363636363636,0.5707865168539326,-0.5,-0.09123434704830065,6,0.7909090909090909,0.7752808988764045,0.8090909090909091,0.8157303370786517,0.022988505747126443,0.0521739130434783,2
citeseer,124,config3.yml,random,0.1,30,sll_no_g,0.25,0.011363636363636158,-0.0014005602240896948,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.323943661971831,0.7257941550190598,0.6175543097407148,-0.5950704225352113,-0.023931998422643815,-0.16440012165875134,222.0,602.0,1612.0,6,1218,4614,0.5727272727272728,0.6067415730337079,0.39090909090909093,0.5719101123595506,-0.31746031746031744,-0.057407407407407435,6,0.8000000000000002,0.8022471910112359,0.8090909090909091,0.8011235955056178,0.011363636363636158,-0.0014005602240896948,2
citeseer,124,config3.yml,random,0.1,30,noise,0.25,-0.011111111111111183,-0.030470914127423872,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.1818969250757904,0.7435897435897436,0.5516138412329166,-0.7726288436552621,0.0,-0.2536227966426167,4540.0,0.0,0.0,6,2270,4614,0.5727272727272728,0.596629213483146,0.37272727272727274,0.5752808988764045,-0.3492063492063492,-0.03578154425612036,6,0.8181818181818182,0.8112359550561797,0.8090909090909091,0.7865168539325842,-0.011111111111111183,-0.030470914127423872,2
citeseer,124,config3.yml,random,0.1,30,heuristic,0.25,0.034883720930232495,-0.004225352112675955,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,nan,0.7435897435897436,0.7435897435897436,nan,0.0,0.006135799684186773,90.0,0.0,1650.0,6,870,4614,0.4909090909090909,0.597752808988764,0.16363636363636364,0.6089887640449438,-0.6666666666666666,0.018796992481203055,6,0.7818181818181819,0.797752808988764,0.8090909090909091,0.7943820224719101,0.034883720930232495,-0.004225352112675955,2
