label,index,num_edges,num_nodes,density,num_triangles,max_diameter,seed,subgraph_size,num_save,batch_size,timesteps,epochs,method,dataset
pred,40,25,16,1.5625,2,4,123,16,50,64,200,5,walk,cora
pred,41,39,16,2.4375,5,6,123,16,50,64,200,5,walk,cora
pred,42,31,16,1.9375,0,10,123,16,50,64,200,5,walk,cora
pred,43,45,16,2.8125,5,5,123,16,50,64,200,5,walk,cora
pred,44,36,16,2.25,5,5,123,16,50,64,200,5,walk,cora
pred,45,48,16,3.0,7,8,123,16,50,64,200,5,walk,cora
pred,46,35,16,2.1875,1,9,123,16,50,64,200,5,walk,cora
pred,47,33,16,2.0625,0,4,123,16,50,64,200,5,walk,cora
pred,48,47,16,2.9375,8,5,123,16,50,64,200,5,walk,cora
pred,49,50,16,3.125,4,5,123,16,50,64,200,5,walk,cora
train,0,88,32,2.75,11,10,123,32,50,64,200,5,walk,cora
train,1,82,32,2.5625,8,10,123,32,50,64,200,5,walk,cora
train,2,76,32,2.375,6,16,123,32,50,64,200,5,walk,cora
train,3,76,32,2.375,5,18,123,32,50,64,200,5,walk,cora
train,4,112,32,3.5,19,8,123,32,50,64,200,5,walk,cora
train,5,84,32,2.625,14,17,123,32,50,64,200,5,walk,cora
train,6,66,32,2.0625,1,16,123,32,50,64,200,5,walk,cora
train,7,96,32,3.0,12,9,123,32,50,64,200,5,walk,cora
train,8,114,32,3.5625,31,7,123,32,50,64,200,5,walk,cora
train,9,98,32,3.0625,17,9,123,32,50,64,200,5,walk,cora
train,10,106,32,3.3125,18,7,123,32,50,64,200,5,walk,cora
train,11,122,32,3.8125,34,9,123,32,50,64,200,5,walk,cora
train,12,100,32,3.125,10,7,123,32,50,64,200,5,walk,cora
train,13,92,32,2.875,11,10,123,32,50,64,200,5,walk,cora
train,14,88,32,2.75,10,9,123,32,50,64,200,5,walk,cora
train,15,92,32,2.875,12,12,123,32,50,64,200,5,walk,cora
train,16,94,32,2.9375,11,11,123,32,50,64,200,5,walk,cora
train,17,86,32,2.6875,12,15,123,32,50,64,200,5,walk,cora
train,18,80,32,2.5,8,17,123,32,50,64,200,5,walk,cora
train,19,110,32,3.4375,24,11,123,32,50,64,200,5,walk,cora
train,20,68,32,2.125,3,20,123,32,50,64,200,5,walk,cora
train,21,110,32,3.4375,26,7,123,32,50,64,200,5,walk,cora
train,22,110,32,3.4375,18,10,123,32,50,64,200,5,walk,cora
train,23,86,32,2.6875,5,9,123,32,50,64,200,5,walk,cora
train,24,80,32,2.5,8,11,123,32,50,64,200,5,walk,cora
train,25,86,32,2.6875,8,10,123,32,50,64,200,5,walk,cora
train,26,90,32,2.8125,10,11,123,32,50,64,200,5,walk,cora
train,27,116,32,3.625,24,7,123,32,50,64,200,5,walk,cora
train,28,94,32,2.9375,7,8,123,32,50,64,200,5,walk,cora
train,29,78,32,2.4375,7,13,123,32,50,64,200,5,walk,cora
train,30,96,32,3.0,12,9,123,32,50,64,200,5,walk,cora
train,31,90,32,2.8125,11,6,123,32,50,64,200,5,walk,cora
train,32,90,32,2.8125,8,11,123,32,50,64,200,5,walk,cora
train,33,76,32,2.375,9,15,123,32,50,64,200,5,walk,cora
train,34,102,32,3.1875,28,10,123,32,50,64,200,5,walk,cora
train,35,84,32,2.625,5,8,123,32,50,64,200,5,walk,cora
train,36,86,32,2.6875,8,15,123,32,50,64,200,5,walk,cora
train,37,80,32,2.5,7,15,123,32,50,64,200,5,walk,cora
train,38,84,32,2.625,6,15,123,32,50,64,200,5,walk,cora
train,39,92,32,2.875,19,15,123,32,50,64,200,5,walk,cora
train,40,70,32,2.1875,2,14,123,32,50,64,200,5,walk,cora
train,41,90,32,2.8125,12,7,123,32,50,64,200,5,walk,cora
train,42,96,32,3.0,15,11,123,32,50,64,200,5,walk,cora
train,43,112,32,3.5,29,10,123,32,50,64,200,5,walk,cora
train,44,82,32,2.5625,6,14,123,32,50,64,200,5,walk,cora
train,45,102,32,3.1875,16,10,123,32,50,64,200,5,walk,cora
train,46,90,32,2.8125,15,13,123,32,50,64,200,5,walk,cora
