dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,lr,s,u,H0_s,H1_s,H0_u,H1_u,MI,dacc_s_g0,dacc_s_gX,dacc_u_g0,dacc_u_gX,e,edges_modified,classes_s,classes_u,num_edges,num_nodes
cora,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,1000,taskB,taskC,0.6885183781735505,0.6529080675422139,0.8353543008715423,0.8469355847404628,0.0015414711087942123,-0.067567603095244,0.0016749639334056145,0.011363601034953909,-0.00615003898830035,0.07445612907530316,1118,2,2,10556,2708
cora,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,1000,taskB,taskA,0.6885183781735505,0.6736842105263158,0.8099658961727927,0.787745483110762,0.1309946496039629,0.0428570957086537,0.04444448307595294,0.08108107441964175,0.054662420925889084,0.13733088271283006,1089,2,7,10556,2708
cora,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,1000,taskC,taskB,0.8353543008715423,0.7179799209005172,0.6885183781735505,0.672649832674171,0.0015414711087942123,-0.022471909344820865,-0.011221957037068577,-0.15189872833231158,-0.026845646022133834,-0.16749442204669313,1296,2,2,10556,2708
cora,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,1000,taskA,taskB,0.8099658961727927,0.6660076045627377,0.6885183781735505,0.6830418250950571,0.1309946496039629,-0.18918917364583074,0.009708719364857808,0.046874948049664474,-0.05369129204426767,0.19208154901608535,1297,7,2,10556,2708
chameleon,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,1000,taskB,taskC,0.9459373306557012,0.7895428517788416,0.8430078735137547,0.774594011076692,0.17111899703741074,-0.2763158202563457,-0.0007251446627292153,-0.14018693468707874,0.02070756968015962,0.1561113105866974,11307,2,2,62742,2277
chameleon,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,1000,taskB,taskA,0.9459373306557012,0.7909591120387061,0.23126454368684454,0.214590646048762,0.02017130615422502,-0.3157894736842105,-0.03264728506970121,-0.2622950920267987,-0.11935103403993737,-0.09850393745222676,10829,2,5,62742,2277
chameleon,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,1000,taskC,taskB,0.8430078735137547,0.7513587610023568,0.9459373306557012,0.8406041075465346,0.17111899703741074,-0.055555598879301345,-0.0060189100770433445,-0.04605264697027811,-0.010028642754295493,-0.006544600922315605,10241,2,2,62742,2277
chameleon,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,1000,taskA,taskB,0.23126454368684454,0.21531078184698538,0.9459373306557012,0.8366880998974933,0.020171400741674006,-0.5833333333333334,-0.07785887292473888,-0.05405405405405406,0.01021902999840436,0.46163943635294474,11649,5,2,62742,2277
BlogCatalog,123,config.yml,random,0.1,30,noise,0.25,500,taskB,taskC,0.5369360032141048,0.5269691663434832,0.5117006224416716,0.5085065792308626,0.002825789153575897,0.15094337840231445,0.03495146898221439,0.0,-0.01221996391366093,-0.128211873333761,85646,2,2,343486,5196
BlogCatalog,123,config.yml,random,0.1,30,noise,0.25,500,taskB,taskA,0.5369360032141048,0.5269691663434832,0.40107602638826617,0.3228935296721549,0.14878023229539394,0.11111109823356513,-0.007843140536480352,-0.18309857540957394,-0.001623420486170529,-0.30367623466578997,85646,2,6,343486,5196
BlogCatalog,123,config.yml,random,0.1,30,noise,0.25,500,taskC,taskB,0.5117006224416716,0.5085065792308626,0.5369360032141048,0.5269691663434832,0.002825789153575897,0.0,-0.002040762780406195,0.30232563216728736,0.07268719154113282,0.37297206092801394,85646,2,2,343486,5196
BlogCatalog,123,config.yml,random,0.1,30,noise,0.25,500,taskA,taskB,0.40107602638826617,0.3228935296721549,0.5369360032141048,0.5269691663434832,0.14878023229539394,-0.2916666847757162,-0.05213267905494207,-0.22413796080136694,-0.09765618650817301,-0.0822601415887658,85646,6,2,343486,5196
cora,123,config.yml,random,0.1,30,noise,0.25,1000,taskB,taskC,0.6885183781735505,0.6396715097915351,0.8353543008715423,0.8293114339861023,0.0015414711087942123,-0.01612900721605072,0.01020406665494861,0.02380955430453054,-0.008578462967156999,0.041564165208372875,2639,2,2,10556,2708
cora,123,config.yml,random,0.1,30,noise,0.25,1000,taskB,taskA,0.6885183781735505,0.6396715097915351,0.8099658961727927,0.604801010739103,0.1309946496039629,-0.0447760512871828,-0.0033389232704139717,-0.32876715622737446,-0.07185634254913242,-0.359186370759738,2639,2,7,10556,2708
cora,123,config.yml,random,0.1,30,noise,0.25,1000,taskC,taskB,0.8353543008715423,0.8293114339861023,0.6885183781735505,0.6396715097915351,0.0015414711087942123,0.02380955430453054,0.0062034873969995016,0.015624975116226026,-0.011308603868588427,-0.013289695659893441,2639,2,2,10556,2708
cora,123,config.yml,random,0.1,30,noise,0.25,1000,taskA,taskB,0.8099658961727927,0.604801010739103,0.6885183781735505,0.6396715097915351,0.1309946496039629,-0.21538462610639744,-0.028301845985338747,-0.015151491752997447,-0.0033444167426863887,0.16858687162537483,2639,7,2,10556,2708
chameleon,123,config.yml,random,0.1,30,noise,0.25,1000,taskB,taskC,0.9459373306557012,0.8040547803839787,0.8430078735137547,0.7675488573087094,0.17111899703741074,-0.21875000583240778,-0.0014316114408204808,-0.031007791416524804,-0.003469216956281645,0.18284138601878086,15510,2,2,62742,2277
