dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,changes_g0,changes_gX,changes_g0gX,num_classes,edges_modified,orig_edges,d_g0_0,d_gX_0,d_g0_1,d_gX_1
cora,124,config.yaml,random,0.1,30,noise,0.25,0.1549295774647886,0.054112554112554084,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.18097361575622445,0.8075294117647058,0.5963893447796995,-0.7714017485184533,0.0,-0.2636858569012271,5290.0,0.0,0.0,7,2645,5278,-0.28125,0.15492957830429077,-0.01679389365017414,0.05411255359649658
cora,124,config.yaml,random,0.1,30,heuristic,0.25,-0.22137404580152673,-0.07438016528925613,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,nan,0.8075294117647058,0.8075294117647058,nan,0.0,-0.003008132094943261,96.0,0.0,1960.0,7,1028,5278,-0.5589743852615356,-0.221374049782753,-0.04281345382332802,-0.07438016682863235
cora,124,config.yaml,random,0.1,30,sll_no_g,0.25,0.010928961748634008,0.007393715341959471,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.32727272727272727,0.7470948658356222,0.6864227396431811,-0.5866028708133971,-0.07483881707418569,-0.15252883746509704,234.0,966.0,1472.0,7,1336,5278,0.0,0.01092896144837141,0.001855287584476173,0.007393715437501669
cora,123,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,-0.006896551724138044,0.02032520325203236,0.8099658961727927,0.9227467811158798,0.8087406015037594,0.8099658961727927,0.7625649913344887,0.8029731528733082,0.6761847809837046,-0.1735923582282052,-0.007131394936432396,-0.16516882478783787,222.0,502.0,2098.0,7,1411,5278,-0.47448980808258057,-0.006896551698446274,0.015360983088612556,0.020325202494859695
