dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,f1_g0_base,f1_gX_base,f1_g0_lock,f1_gX_lock,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,num_classes,edges_modified,orig_edges
BlogCatalog,123,config.yaml,many_clusters,0.1,30,sll,0.1,0.7707129094412332,0.6696428571428571,0.6146435452793835,0.6863839285714286,-0.20249999999999996,0.02500000000000012,0.40107602638826617,0.4673897531040388,0.4016058768258307,0.40107602638826617,0.39059142824833204,0.40151069005249007,0.37205886252154313,-0.16431324038593503,-0.00023701538954799567,-0.07234828799922498,6,17164,171743
BlogCatalog,123,config.yaml,many_clusters,0.1,30,sll,0.1,0.7707129094412332,0.6696428571428571,0.6146435452793835,0.6863839285714286,-0.20249999999999996,0.02500000000000012,0.40107602638826617,0.4673897531040388,0.4016058768258307,0.40107602638826617,0.39059142824833204,0.40151069005249007,0.37205886252154313,-0.16431324038593503,-0.00023701538954799567,-0.07234828799922498,6,17164,171743
cora,123,config.yaml,many_clusters,0.1,30,sll,0.25,0.7333333333333333,0.7026726057906458,0.35185185185185186,0.6982182628062361,-0.5202020202020201,-0.006339144215530791,0.8099658961727927,0.9227467811158798,0.8087406015037594,0.8099658961727927,0.5167364016736402,0.8043225656518708,0.6613581730769231,-0.4400019460932178,-0.005462858973166151,-0.18347404970760223,7,1378,5278
cora,123,config.yaml,many_clusters,0.1,30,sll,0.25,0.7333333333333333,0.7026726057906458,0.35185185185185186,0.6982182628062361,-0.5202020202020201,-0.006339144215530791,0.8099658961727927,0.9227467811158798,0.8087406015037594,0.8099658961727927,0.5167364016736402,0.8043225656518708,0.6613581730769231,-0.4400019460932178,-0.005462858973166151,-0.18347404970760223,7,1378,5278
cora,123,config.yaml,many_clusters,0.1,30,sll,0.25,0.7333333333333333,0.7026726057906458,0.35185185185185186,0.6982182628062361,-0.5202020202020201,-0.006339144215530791,0.8099658961727927,0.9227467811158798,0.8087406015037594,0.8099658961727927,0.5167364016736402,0.8043225656518708,0.6613581730769231,-0.4400019460932178,-0.005462858973166151,-0.18347404970760223,7,1378,5278
