dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,f1_g0_base,f1_gX_base,f1_g0_lock,f1_gX_lock,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,num_classes,edges_modified,orig_edges
BlogCatalog,124,config2.yml,random,0.1,30,sll_no_g,0.25,0.5826923076923077,0.6352549889135255,0.573076923076923,0.7184035476718403,-0.016501650165016632,0.13089005235602091,0.40107602638826617,0.3685333333333333,0.4054171652344175,0.40107602638826617,0.2633371169125993,0.40476053914539717,0.38282022866718923,-0.2854455944846256,-0.0016196307046858027,-0.04551705043423415,6,13490,171743
BlogCatalog,124,config2.yml,random,0.1,30,noise,0.25,0.5865384615384616,0.6452328159645233,0.3653846153846153,0.6696230598669624,-0.377049180327869,0.0378006872852234,0.40107602638826617,0.3685333333333333,0.4054171652344175,0.40107602638826617,0.1629121585306008,0.4054171652344175,0.3215216829644476,-0.5579445770696433,0.0,-0.198352277846707,6,86109,171743
flickr,124,config2.yml,random,0.1,30,sll,0.25,0.453227931488801,0.5011037527593819,0.35704874835309613,0.5,-0.21220930232558136,-0.0022026431718061784,0.2385854557892366,0.23284132841328414,0.24004579769547668,0.2385854557892366,0.1394651636886917,0.23997199786849446,0.23293481834291532,-0.40102917021179957,-0.0003074406121278617,-0.023683914124727593,9,9742,239738
flickr,124,config2.yml,random,0.1,30,sll_no_g,0.25,0.4466403162055335,0.45584988962472406,0.36495388669301715,0.5242825607064018,-0.18289085545722694,0.1501210653753027,0.2385854557892366,0.23284132841328414,0.24004579769547668,0.2385854557892366,0.19140539355404518,0.24331922534308068,0.23136754886040825,-0.17795781849213566,0.013636679662922825,-0.03025292092911377,9,18403,239738
flickr,124,config2.yml,random,0.1,30,noise,0.25,0.4795783926218709,0.4911699779249448,0.18181818181818182,0.4845474613686534,-0.6208791208791209,-0.013483146067415798,0.2385854557892366,0.23284132841328414,0.24004579769547668,0.2385854557892366,0.11176485274169254,0.24004579769547668,0.1959651838932112,-0.5199956403645217,0.0,-0.17863734298068706,9,119695,239738
cora,124,config2.yml,bias,0.1,30,sll,0.25,0.6891385767790262,0.7331838565022422,0.3595505617977528,0.7253363228699552,-0.4782608695652174,-0.010703363914373043,0.8099658961727927,0.8703703703703703,0.8101236295777934,0.8099658961727927,0.15919811320754718,0.7984198645598194,0.5707959002910287,-0.8170915295062224,-0.014446887599209469,-0.29528403234244455,7,2625,5278
cora,124,config2.yml,bias,0.1,30,sll_no_g,0.25,0.7078651685393259,0.6995515695067265,0.49063670411985016,0.6984304932735426,-0.306878306878307,-0.0016025641025641864,0.8099658961727927,0.8703703703703703,0.8101236295777934,0.8099658961727927,0.3597560975609756,0.7931485926249182,0.6657742079428827,-0.5866632070576024,-0.020953637609264567,-0.17802192525788657,7,1445,5278
cora,124,config2.yml,bias,0.1,30,noise,0.25,0.7565543071161048,0.7230941704035875,0.5205992509363296,0.6995515695067265,-0.31188118811881177,-0.032558139534883734,0.8099658961727927,0.8703703703703703,0.8101236295777934,0.8099658961727927,0.17115749525616697,0.8101236295777934,0.5953683674767782,-0.8033509628971699,0.0,-0.2649463757795472,7,2587,5278
citeseer,124,config2.yml,bias,0.1,30,sll,0.25,0.563076923076923,0.5951056729699666,0.28615384615384615,0.5773081201334817,-0.4918032786885246,-0.02990654205607477,0.7390550498482878,0.8,0.7382802035896062,0.7390550498482878,0.1746987951807229,0.7205536693653696,0.5232541186761919,-0.7816265060240964,-0.02401057774277046,-0.2919957467530941,6,2369,4614
citeseer,124,config2.yml,bias,0.1,30,sll_no_g,0.25,0.5938461538461538,0.6229143492769744,0.4492307692307692,0.5995550611790879,-0.24352331606217614,-0.03750000000000004,0.7390550498482878,0.8,0.7382802035896062,0.7390550498482878,0.29770992366412213,0.7216674987518722,0.6219765031098825,-0.6278625954198475,-0.02250189664704685,-0.1584165438859244,6,1298,4614
citeseer,124,config2.yml,bias,0.1,30,noise,0.25,0.5876923076923077,0.6051167964404894,0.49230769230769234,0.6206896551724138,-0.16230366492146597,0.025735294117647085,0.7390550498482878,0.8,0.7382802035896062,0.7390550498482878,0.2350463352990733,0.7382802035896062,0.5661573940616893,-0.7061920808761585,0.0,-0.23394421812298113,6,2324,4614
Polblogs,124,config2.yml,bias,0.1,30,sll,0.25,0.869281045751634,0.8679026651216686,0.33986928104575165,0.7844727694090381,-0.6090225563909775,-0.09612817089452619,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,0.5403973509933775,0.8983691467767901,0.8190365465298488,-0.4172185430463576,-0.008335643352311779,-0.09575984971952292,2,3082,16715
Polblogs,124,config2.yml,bias,0.1,30,sll_no_g,0.25,0.8627450980392157,0.8794901506373117,0.48366013071895425,0.8400926998841252,-0.4393939393939394,-0.04479578392621872,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,0.8762886597938144,0.8944909344490934,0.8710238429172511,-0.054982817869415786,-0.012616606191125777,-0.0383643636484906,2,1118,16715
Polblogs,124,config2.yml,bias,0.1,30,noise,0.25,0.869281045751634,0.8736964078794901,0.5294117647058824,0.8736964078794901,-0.3909774436090226,0.0,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,0.6629638671875,0.9059205776173285,0.825236440061434,-0.2850389667585784,0.0,-0.08891498707880646,2,8265,16715
BlogCatalog,124,config2.yml,bias,0.1,30,sll,0.25,0.6998087954110899,0.6868008948545862,0.6405353728489483,0.6901565995525727,-0.0846994535519126,0.0048859934853419315,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,0.24745565571387032,0.4008354562339865,0.37880056085428987,-0.551966933909359,-0.0009606832590194707,-0.05553925956275503,6,16180,171743
