dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,f1_g0_base,f1_gX_base,f1_g0_lock,f1_gX_lock,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,num_classes,edges_modified,orig_edges
BlogCatalog,123,config.yaml,random,0.1,30,noise,0.25,0.6709090909090909,0.693854748603352,0.4490909090909091,0.7150837988826816,-0.3306233062330623,0.030595813204508906,0.40107602638826617,0.3796498905908096,0.403435864820329,0.40107602638826617,0.16680334590782353,0.403435864820329,0.3228935296721549,-0.5606390254762227,0.0,-0.19493186222111872,6,85646,171743
BlogCatalog,123,config.yaml,random,0.1,30,heuristic,0.25,0.7090909090909091,0.7083798882681566,0.15272727272727274,0.6379888268156425,-0.7846153846153846,-0.09936908517350168,0.40107602638826617,0.3796498905908096,0.403435864820329,0.40107602638826617,nan,0.403435864820329,0.403435864820329,nan,0.0,0.005883768355125681,6,33379,171743
flickr,123,config.yaml,random,0.1,30,sll,0.25,0.4497422680412371,0.44754464285714285,0.12371134020618557,0.47433035714285715,-0.7249283667621776,0.05985037406483794,0.2385854557892366,0.2658008658008658,0.23741350390610974,0.2385854557892366,0.11652154415336896,0.23634127979924718,0.1985462790471101,-0.5616209006607781,-0.004516272618117759,-0.16781901733983562,9,99999,239738
flickr,123,config.yaml,random,0.1,30,sll_no_g,0.25,0.4677835051546392,0.4375,0.31829896907216493,0.5212053571428571,-0.3195592286501378,0.19132653061224478,0.2385854557892366,0.2658008658008658,0.23741350390610974,0.2385854557892366,0.2085549132947977,0.2403214834597264,0.2313375212922401,-0.21537158027527256,0.012248585298529104,-0.03037877758734471,9,18073,239738
flickr,123,config.yaml,random,0.1,30,noise,0.25,0.4574742268041237,0.44419642857142855,0.12628865979381443,0.47098214285714285,-0.723943661971831,0.06030150753768848,0.2385854557892366,0.2658008658008658,0.23741350390610974,0.2385854557892366,0.11155474192559704,0.23741350390610974,0.19559177884065013,-0.5803070784232424,0.0,-0.18020242183818005,9,120327,239738
flickr,123,config.yaml,random,0.1,30,heuristic,0.25,0.46649484536082475,0.46875,0.10438144329896908,0.47544642857142855,-0.7762430939226519,0.014285714285714235,0.2385854557892366,0.2658008658008658,0.23741350390610974,0.2385854557892366,nan,0.23741350390610974,0.23741350390610974,nan,0.0,-0.004912084348352489,9,44787,239738
cora,123,config.yaml,bias,0.1,30,sll,0.25,0.7483443708609272,0.7290033594624858,0.2980132450331126,0.6774916013437849,-0.6017699115044248,-0.07066052227342537,0.8099658961727927,0.922077922077922,0.8057687834380088,0.8099658961727927,0.18382352941176472,0.791899753859924,0.5756103796497507,-0.8006420878210438,-0.017212170368414246,-0.2893399803996762,7,2549,5278
cora,123,config.yaml,bias,0.1,30,sll_no_g,0.25,0.7417218543046359,0.7144456886898095,0.5596026490066225,0.7178051511758119,-0.24553571428571444,0.004702194357366975,0.8099658961727927,0.922077922077922,0.8057687834380088,0.8099658961727927,0.395,0.7910737386804657,0.6753498064900267,-0.5716197183098591,-0.018237297174560598,-0.16619970089956462,7,1442,5278
cora,123,config.yaml,bias,0.1,30,noise,0.25,0.7284768211920529,0.7189249720044792,0.5066225165562914,0.7122060470324747,-0.30454545454545445,-0.00934579439252346,0.8099658961727927,0.922077922077922,0.8057687834380088,0.8099658961727927,0.23255813953488372,0.8057687834380088,0.6131943561713487,-0.7477890599410416,0.0,-0.24293805570236765,7,2597,5278
cora,123,config.yaml,bias,0.1,30,heuristic,0.25,0.7450331125827815,0.7245240761478163,0.36423841059602646,0.6987681970884658,-0.5111111111111112,-0.03554868624420402,0.8099658961727927,0.922077922077922,0.8057687834380088,0.8099658961727927,nan,0.8057687834380088,0.8057687834380088,nan,0.0,-0.005181838833728456,7,979,5278
