dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,changes_g0,changes_gX,changes_g0gX,num_classes,edges_modified,orig_edges,d_g0_0,d_gX_0,d_g0_1,d_gX_1
citeseer,124,config.yaml,bias,0.1,30,sll_no_g,0.25,0.0,-0.003856041131105439,0.7390550498482878,0.8,0.7382802035896062,0.7390550498482878,0.34306569343065696,0.7243994943109987,0.6305506216696269,-0.5711678832116788,-0.018801410644790226,-0.14681508258543735,198.0,668.0,1414.0,6,1140,4614,-0.019999999552965164,0.0,0.0019011406693607569,-0.0038560412358492613
citeseer,124,config.yaml,bias,0.1,30,noise,0.25,0.0,-0.0012870012870014717,0.7390550498482878,0.8,0.7382802035896062,0.7390550498482878,0.23902236951118475,0.7382802035896062,0.5656348523932359,-0.7012220381110191,0.0,-0.23465125837466566,4732.0,0.0,0.0,6,2366,4614,0.09803921729326248,0.0,-0.0371057502925396,-0.001287001301534474
citeseer,124,config.yaml,bias,0.1,30,heuristic,0.25,0.0,0.0012870012870010864,0.7390550498482878,0.8,0.7382802035896062,0.7390550498482878,nan,0.7382802035896062,0.7382802035896062,nan,0.0,-0.0010484283394595392,100.0,0.0,1662.0,6,881,4614,-0.7058823704719543,0.0,-0.05514705926179886,0.001287001301534474
flickr,124,config.yaml,bias,0.1,30,sll_no_g,0.25,0.0,0.0,0.2385854557892366,0.27729157070474436,0.24033464896908002,0.2385854557892366,0.20325384443949188,0.24243630573248406,0.22657055343927465,-0.2670031623286763,0.008744709813666643,-0.050358905199048495,4664.0,18366.0,39096.0,9,31063,239738,-0.6538461446762085,0.0,0.05922551080584526,0.0
flickr,124,config.yaml,bias,0.1,30,noise,0.25,0.0,0.0,0.2385854557892366,0.27729157070474436,0.24033464896908002,0.2385854557892366,0.14000183904971286,0.24033464896908002,0.2053337962003841,-0.4951096468821817,0.0,-0.13937001934529733,238776.0,0.0,0.0,9,119388,239738,-0.1111111119389534,0.0,0.04683840647339821,0.0
flickr,124,config.yaml,bias,0.1,30,heuristic,0.25,0.0,0.0,0.2385854557892366,0.27729157070474436,0.24033464896908002,0.2385854557892366,nan,0.24033464896908002,0.24033464896908002,nan,0.0,0.007331516391295215,4342.0,0.0,81408.0,9,42875,239738,-0.7674418687820435,0.0,0.04749999940395355,0.0
Polblogs,124,config.yaml,bias,0.1,30,sll_no_g,0.25,0.0,0.0,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,0.822429906542056,0.9050469409615021,0.818753843970289,-0.11306578706248854,-0.000964363408240671,-0.09607196156120333,312.0,4082.0,4514.0,2,4454,16715,-0.6315789222717285,0.0,0.028263796120882034,0.0
Polblogs,124,config.yaml,bias,0.1,30,noise,0.25,0.0,0.0,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,0.6500427820559834,0.9059205776173285,0.8210343293841738,-0.29897347033178256,0.0,-0.09355423938860868,16504.0,0.0,0.0,2,8252,16715,-0.5616438388824463,0.0,-0.0013315578689798713,0.0
Polblogs,124,config.yaml,bias,0.1,30,heuristic,0.25,0.0,0.0,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,nan,0.9059205776173285,0.9059205776173285,nan,0.0,0.0001626456323411858,330.0,0.0,5400.0,2,2865,16715,-0.054054055362939835,0.0,0.005340454168617725,0.0
cora,124,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,0.019230769230769246,0.002020202020201932,0.8099658961727927,0.8417849898580122,0.8178784266984506,0.8099658961727927,0.6735015772870663,0.8106343283582089,0.6727103672710367,-0.19991258409030443,-0.008857182319240367,-0.16945840503940773,282.0,186.0,1882.0,7,1175,5278,-0.3888888955116272,0.01923076994717121,-0.05188679322600365,0.002020202111452818
cora,124,config.yaml,many_clusters,0.1,30,noise,0.25,0.14583333333333348,0.008130081300813061,0.8099658961727927,0.8417849898580122,0.8178784266984506,0.8099658961727927,0.46104520679705036,0.8178784266984506,0.6702935222672065,-0.4523005133712149,0.0,-0.17244228993536465,5400.0,0.0,0.0,7,2700,5278,-0.15584415197372437,0.1458333283662796,-0.03809523954987526,0.008130080997943878
cora,124,config.yaml,many_clusters,0.1,30,heuristic,0.25,-0.12,-0.023622047244094446,0.8099658961727927,0.8417849898580122,0.8178784266984506,0.8099658961727927,nan,0.8178784266984506,0.8178784266984506,nan,0.0,0.009768967512145565,986.0,0.0,1180.0,7,1083,5278,-0.13636364042758942,-0.11999999731779099,-0.02300613559782505,-0.023622047156095505
citeseer,124,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,0.0,0.0013037809647978478,0.7390550498482878,0.8724428399518652,0.7183882783882783,0.7390550498482878,0.6976744186046512,0.7072285794027351,0.6319556271247092,-0.2003207698476343,-0.015534355614181667,-0.14491399895794482,215.0,575.0,1408.0,6,1099,4614,-0.4324324429035187,0.0,-0.06273764371871948,0.001303780940361321
citeseer,124,config.yaml,many_clusters,0.1,30,noise,0.25,0.0,0.0013037809647978478,0.7390550498482878,0.8724428399518652,0.7183882783882783,0.7390550498482878,0.3085725004689552,0.7183882783882783,0.5638111888111889,-0.6463120718762735,0.0,-0.23711881959682543,4568.0,0.0,0.0,6,2284,4614,-0.3484848439693451,0.0,0.003853564616292715,0.001303780940361321
citeseer,124,config.yaml,many_clusters,0.1,30,heuristic,0.25,0.0,0.0026075619295958252,0.7390550498482878,0.8724428399518652,0.7183882783882783,0.7390550498482878,nan,0.7183882783882783,0.7183882783882783,nan,0.0,-0.02796377815732664,831.0,0.0,1572.0,6,1201,4614,-0.7058823704719543,0.0,-0.02923976629972458,0.002607561880722642
