dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,changes_g0,changes_gX,changes_g0gX,num_classes,edges_modified,orig_edges,d_g0_0,d_gX_0,d_g0_1,d_gX_1
cora,123,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,-0.006896551724138044,0.02032520325203236,0.8099658961727927,0.9227467811158798,0.8087406015037594,0.8099658961727927,0.7625649913344887,0.8029731528733082,0.6761847809837046,-0.1735923582282052,-0.007131394936432396,-0.16516882478783787,222.0,502.0,2098.0,7,1411,5278,-0.47448980808258057,-0.006896551698446274,0.015360983088612556,0.020325202494859695
cora,123,config.yaml,many_clusters,0.1,30,heuristic,0.25,-0.19444444444444453,0.03829787234042548,0.8099658961727927,0.9227467811158798,0.8087406015037594,0.8099658961727927,nan,0.8087406015037594,0.8087406015037594,nan,0.0,-0.0015127731609725955,932.0,0.0,1112.0,7,1022,5278,-0.8585858345031738,-0.1944444477558136,-0.06051437184214592,0.0382978729903698
cora,123,config.yaml,random,0.1,30,heuristic,0.25,0.1466666666666667,0.053191489361702204,0.8099658961727927,0.8461538461538461,0.8168714555765595,0.8099658961727927,nan,0.8168714555765595,0.8168714555765595,nan,0.0,0.008525740943410805,104.0,0.0,1988.0,7,1046,5278,-0.7887324094772339,0.14666666090488434,0.0015360983088612556,0.05319149047136307
